pl_hostname,pl_name,pl_discmethod,pl_pnum,pl_orbper,gaia_dist,st_teff,st_mass,st_rad,pl_eqt,pl_masse,pl_rade,pl_ratdor,pl_disc,pl_telescope,pl_pelink,pl_edelink,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age
K2-177,K2-177 b,Transit,1,14.155185,499.02,6063,1.21,1.21,,,2.116,10.638946,2018,0.95 m Kepler Telescope,,,,4.38,,,0.41,[Fe/H],
K2-178,K2-178 b,Transit,1,8.747818,216.08,5525,0.95,0.89,,,3.558,18.513049,2018,0.95 m Kepler Telescope,,,,4.55,,,0.09,[Fe/H],
K2-179,K2-179 b,Transit,1,5.172191,191.84,5015,0.82,0.77,,,2.513,20.135239,2018,0.95 m Kepler Telescope,,,,4.63,,,0.03,[Fe/H],
K2-18,K2-18 b,Transit,2,32.939623,38.07,3457,0.36,0.41,284,8.92,2.37,,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-18_b/,,M2.5 V,,,,0.12,[Fe/H],
K2-18,K2-18 c,Radial Velocity,2,8.962,38.07,3457,0.36,0.41,363,,,,2017,3.6 m ESO Telescope,http://exoplanet.eu/catalog/k2-18_c/,,M2.5 V,,,,0.12,[Fe/H],
K2-180,K2-180 b,Transit,1,8.867209,205.09,5358,0.72,0.72,731,,2.31,24.12,2018,0.95 m Kepler Telescope,,,,4.58,,3.375,-0.54,[Fe/H],
K2-181,K2-181 b,Transit,1,6.894256,364.64,5608,0.99,1.07,962,,2.84,18.79,2018,0.95 m Kepler Telescope,,,,4.38,,2.639,0.23,[Fe/H],
K2-182,K2-182 b,Transit,1,4.736837,155.51,5165,0.88,0.8,885,,2.76,13.89,2018,0.95 m Kepler Telescope,,,,4.58,,2.256,0.09,[Fe/H],
K2-183,K2-183 b,Transit,3,0.469269,332.14,5519,0.93,0.97,,,2.599,1.396227,2018,0.95 m Kepler Telescope,,,,4.43,,,0.09,[Fe/H],
K2-183,K2-183 c,Transit,3,10.792635,332.14,5519,0.93,0.97,787,,2.87,19.6,2018,0.95 m Kepler Telescope,,,,4.43,,,0.09,[Fe/H],
K2-183,K2-183 d,Transit,3,22.631964,332.14,5519,0.93,0.97,615,,2.86,44.41,2018,0.95 m Kepler Telescope,,,,4.43,,,0.09,[Fe/H],
K2-184,K2-184 b,Transit,1,16.995731,75.75,5220,0.86,0.78,580,,1.55,47.37,2018,0.95 m Kepler Telescope,,,,4.59,,6.966,-0.07,[Fe/H],
K2-185,K2-185 b,Transit,1,10.616646,270.41,5722,0.98,0.91,,,1.313,26.705693,2018,0.95 m Kepler Telescope,,,,4.58,,,-0.05,[Fe/H],
K2-186,K2-186 b,Transit,1,41.474219,333.84,5784,1.02,0.98,,,3.172,48.939252,2018,0.95 m Kepler Telescope,,,,4.45,,,0.06,[Fe/H],
K2-187,K2-187 b,Transit,4,0.77392,334.01,5484,0.98,0.92,1815,,1.3,4.13,2018,0.95 m Kepler Telescope,,,,4.5,,,0.23,[Fe/H],
K2-187,K2-187 c,Transit,4,2.872042,334.01,5484,0.98,0.92,1173,,1.8,8.08,2018,0.95 m Kepler Telescope,,,,4.5,,,0.23,[Fe/H],
K2-187,K2-187 d,Transit,4,7.14921,334.01,5484,0.98,0.92,865,,3.17,18.16,2018,0.95 m Kepler Telescope,,,,4.5,,,0.23,[Fe/H],
K2-187,K2-187 e,Transit,4,13.609878,334.01,5484,0.98,0.92,698,,2.38,23.94,2018,0.95 m Kepler Telescope,,,,4.5,,,0.23,[Fe/H],
K2-188,K2-188 b,Transit,2,1.742169,452.54,5977,1.06,1.19,1692,,1.35,4.67,2018,0.95 m Kepler Telescope,,,,4.31,,,-0.01,[Fe/H],
K2-188,K2-188 c,Transit,2,7.810253,452.54,5977,1.06,1.19,1026,,2.83,15.56,2018,0.95 m Kepler Telescope,,,,4.31,,,-0.01,[Fe/H],
K2-189,K2-189 b,Transit,2,2.588309,243.8,5519,0.94,0.87,1197,,1.52,7.95,2018,0.95 m Kepler Telescope,,,,4.53,,,0,[Fe/H],
K2-189,K2-189 c,Transit,2,6.679195,243.8,5519,0.94,0.87,872,,2.5,18.17,2018,0.95 m Kepler Telescope,,,,4.53,,,0,[Fe/H],
K2-19,K2-19 b,Transit,3,7.9194,292.14,5430,0.93,0.86,854,,7.74,18.5,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-19_b/,,G9 V,4.63,,,0.1,[Fe/H],
K2-19,K2-19 c,Transit,3,11.90715,292.14,5430,0.93,0.86,745,,4.86,18.1,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-19_c/,,G9 V,4.63,,,0.1,[Fe/H],
K2-19,K2-19 d,Transit,3,2.50856,292.14,5430,0.93,0.86,1252,,1.14,7.831,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-19_d/,,G9 V,4.63,,,0.1,[Fe/H],
K2-190,K2-190 b,Transit,2,10.098858,161.42,5631,0.9,0.91,,,1.357,17.225461,2018,0.95 m Kepler Telescope,,,,4.38,,,-0.19,[Fe/H],
K2-190,K2-190 c,Transit,2,21.574023,161.42,5631,0.9,0.91,,,1.093,27.966545,2018,0.95 m Kepler Telescope,,,,4.38,,,-0.19,[Fe/H],
K2-191,K2-191 b,Transit,1,2.858646,289.57,5176,0.9,0.84,,,1.579,8.602679,2018,0.95 m Kepler Telescope,,,,4.57,,,0.31,[Fe/H],
K2-192,K2-192 b,Transit,1,4.162817,223.16,5222,0.9,0.81,939,,1.52,17.64,2018,0.95 m Kepler Telescope,,,,4.57,,5.975,0.15,[Fe/H],
K2-193,K2-193 b,Transit,1,14.786889,416.86,5817,1.01,0.98,739,,3.95,26.08,2018,0.95 m Kepler Telescope,,,,4.46,,1.532,0,[Fe/H],
K2-194,K2-194 b,Transit,1,39.721386,640.65,5979,1.11,1.28,,,3.642,30.98886,2018,0.95 m Kepler Telescope,,,,4.21,,,0.1,[Fe/H],
K2-195,K2-195 b,Transit,2,15.852975,317.84,5713,0.94,0.99,720,,3.13,24.33,2018,0.95 m Kepler Telescope,,,,4.42,,1.09,-0.1,[Fe/H],
K2-195,K2-195 c,Transit,2,28.482786,317.84,5713,0.94,0.99,,,2.576,27.673288,2018,0.95 m Kepler Telescope,,,,4.42,,1.09,-0.1,[Fe/H],
K2-196,K2-196 b,Transit,1,48.324222,594.09,6045,1.16,1.54,,,3.6,23.462939,2018,0.95 m Kepler Telescope,,,,4.08,,,0.01,[Fe/H],
K2-197,K2-197 b,Transit,1,8.357881,249.39,5667,1,0.93,848,,2.56,16.29,2018,0.95 m Kepler Telescope,,,,4.5,,1.16,0.08,[Fe/H],
K2-198,K2-198 b,Transit,3,17.0428683,110.91,5212.9,0.8,0.76,716,,4.189,25.86,2018,0.95 m Kepler Telescope,,,,,,,,,
K2-198,K2-198 c,Transit,3,3.3596055,110.91,5212.9,0.8,0.76,1230,,1.423,8.76,2019,0.95 m Kepler Telescope,,,,,,,,,
K2-198,K2-198 d,Transit,3,7.4500177,110.91,5212.9,0.8,0.76,943,,2.438,14.9,2019,0.95 m Kepler Telescope,,,,,,,,,
K2-199,K2-199 b,Transit,2,3.225338,107.85,4648,0.73,0.68,861,,1.87,10.83,2018,0.95 m Kepler Telescope,,,,4.64,,,-0.11,[Fe/H],
K2-199,K2-199 c,Transit,2,7.374694,107.85,4648,0.73,0.68,653,,2.78,22.2,2018,0.95 m Kepler Telescope,,,,4.64,,,-0.11,[Fe/H],
K2-200,K2-200 b,Transit,1,2.849883,185.09,5233,0.86,0.79,,,1.364,13.198523,2018,0.95 m Kepler Telescope,,,,4.71,,,-0.04,[Fe/H],
K2-201,K2-201 b,Transit,2,1.05979,199.05,5507,0.96,0.88,,,1.4,4.652897,2018,0.95 m Kepler Telescope,,,,4.68,,,0.13,[Fe/H],
K2-201,K2-201 c,Transit,2,22.779878,199.05,5507,0.96,0.88,,,3.286,40.683505,2018,0.95 m Kepler Telescope,,,,4.68,,,0.13,[Fe/H],
K2-202,K2-202 b,Transit,1,3.405164,302.99,5491,0.97,0.91,,,2.302,11.942004,2018,0.95 m Kepler Telescope,,,,4.55,,,0.27,[Fe/H],
K2-203,K2-203 b,Transit,1,9.695101,166.93,5000,0.79,0.76,,,1.371,19.031555,2018,0.95 m Kepler Telescope,,,,4.43,,,-0.07,[Fe/H],
K2-204,K2-204 b,Transit,1,7.055784,586.87,5755,1.01,1.18,,,3.046,11.04258,2018,0.95 m Kepler Telescope,,,,4.23,,,0.07,[Fe/H],
K2-205,K2-205 b,Transit,1,26.672263,409.95,5890,0.95,1.08,,,1.996,31.035514,2018,0.95 m Kepler Telescope,,,,4.25,,,-0.26,[Fe/H],
K2-206,K2-206 b,Transit,1,18.294549,246.14,5043,0.79,0.76,,,2.795,28.28403,2018,0.95 m Kepler Telescope,,,,4.46,,,-0.14,[Fe/H],
K2-207,K2-207 b,Transit,1,12.48749,366.84,5522,0.94,0.93,,,2.606,21.180496,2018,0.95 m Kepler Telescope,,,,4.41,,,0.11,[Fe/H],
K2-208,K2-208 b,Transit,1,4.190948,258.76,5582,0.93,0.86,,,1.679,14.156898,2018,0.95 m Kepler Telescope,,,,4.62,,,-0.11,[Fe/H],
K2-209,K2-209 b,Transit,1,2.080615,76.67,4720,0.74,0.71,,,0.869,8.501853,2018,0.95 m Kepler Telescope,,,,4.46,,,-0.06,[Fe/H],
K2-21,K2-21 b,Transit,2,9.325038,83.85,4222.06,0.68,0.65,,,1.84,25.37,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic-206011691_b/,,M0.0,,,,,,
K2-21,K2-21 c,Transit,2,15.50192,83.85,4222.06,0.68,0.65,,,2.49,35.5,2015,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic-206011691_c/,,M0.0,,,,,,
K2-210,K2-210 b,Transit,1,0.570233,177.39,5396,0.91,0.85,,,0.819,4.32071,2018,0.95 m Kepler Telescope,,,,4.55,,,0.05,[Fe/H],
K2-211,K2-211 b,Transit,1,0.669558,274.39,5221,0.88,0.82,,,1.375,3.41408,2018,0.95 m Kepler Telescope,,,,4.6,,,0.11,[Fe/H],
K2-212,K2-212 b,Transit,1,9.79551,109.55,4272,0.67,0.65,542,,2.52,28.26,2018,0.95 m Kepler Telescope,,,,4.64,,4.445,0.03,[Fe/H],
K2-213,K2-213 b,Transit,1,8.13087,394.05,5794,1.07,1.2,,,1.514,13.24909,2018,0.95 m Kepler Telescope,,,,4.25,,,0.25,[Fe/H],
K2-214,K2-214 b,Transit,1,8.596802,303.22,5854,1.05,1.27,1006,,2.43,16.18,2018,0.95 m Kepler Telescope,,,,4.25,,1.08,0.05,[Fe/H],
K2-215,K2-215 b,Transit,1,8.269648,408.67,5704,1,0.97,,,2.124,28.084531,2018,0.95 m Kepler Telescope,,,,4.41,,,0.11,[Fe/H],
K2-216,K2-216 b,Transit,1,2.1748,115.84,4503,0.7,0.72,1103,8,1.75,8.3,2018,0.95 m Kepler Telescope,,,K5 V,4.57,-0.721,2.3,0,[Fe/H],
K2-217,K2-217 b,Transit,1,14.074524,386.01,5967,1.1,1.33,,,3.579,16.108984,2018,0.95 m Kepler Telescope,,,,4.17,,,0.04,[Fe/H],
K2-218,K2-218 b,Transit,1,8.679885,398.41,5757,1.05,1.01,,,2.569,16.021068,2018,0.95 m Kepler Telescope,,,,4.45,,,0.25,[Fe/H],
K2-219,K2-219 b,Transit,3,3.901287,328.42,5753,1.02,1.19,,,1.348,9.031985,2018,0.95 m Kepler Telescope,,,,4.23,,,0.13,[Fe/H],
K2-219,K2-219 c,Transit,3,6.66767,328.42,5753,1.02,1.19,,,1.438,10.347938,2018,0.95 m Kepler Telescope,,,,4.23,,,0.13,[Fe/H],
K2-219,K2-219 d,Transit,3,11.137278,328.42,5753,1.02,1.19,,,2.576,15.766969,2018,0.95 m Kepler Telescope,,,,4.23,,,0.13,[Fe/H],
K2-22,K2-22 b,Transit,1,0.381078,245.53,3830,0.6,0.57,2100,444.962,2.5,3.3,2015,0.95 m Kepler Telescope,,,M0 V,4.65,,,0.03,[Fe/H],
K2-220,K2-220 b,Transit,1,13.683256,235.06,5660,0.96,1.02,758,,2.39,31.18,2018,0.95 m Kepler Telescope,,,,4.4,,3.061,0.04,[Fe/H],
K2-221,K2-221 b,Transit,1,2.399094,321.63,5716,1.01,0.95,,,1.679,6.506267,2018,0.95 m Kepler Telescope,,,,4.57,,,0.13,[Fe/H],
K2-222,K2-222 b,Transit,1,15.387063,101.61,6058,1,1.09,801,,2.39,25.07,2018,0.95 m Kepler Telescope,,,,4.37,,1.25,-0.21,[Fe/H],
K2-223,K2-223 b,Transit,2,0.50565,199.7,5835,1.06,0.99,2271,,0.89,3.9,2018,0.95 m Kepler Telescope,,,,4.48,,,0.12,[Fe/H],
K2-223,K2-223 c,Transit,2,4.56327,199.7,5835,1.06,0.99,1091,,1.57,11,2018,0.95 m Kepler Telescope,,,,4.48,,,0.12,[Fe/H],
K2-224,K2-224 b,Transit,2,4.47904,277.42,5620,0.91,0.84,1002,,1.56,13.2,2018,0.95 m Kepler Telescope,,,,4.55,,,-0.19,[Fe/H],
K2-224,K2-224 c,Transit,2,10.09489,277.42,5620,0.91,0.84,764,,2.41,20.3,2018,0.95 m Kepler Telescope,,,,4.55,,,-0.19,[Fe/H],
K2-225,K2-225 b,Transit,1,15.87209,361.41,5742,1.27,1.7,902,,3.49,17.8,2018,0.95 m Kepler Telescope,,,,4.08,,,0.38,[Fe/H],
K2-226,K2-226 b,Transit,1,3.27108,212.49,5424,0.88,0.91,1120,,1.54,9.7,2018,0.95 m Kepler Telescope,,,,4.47,,,-0.03,[Fe/H],
K2-227,K2-227 b,Transit,1,13.621832,188.22,5673,0.95,0.89,,,1.666,21.261583,2018,0.95 m Kepler Telescope,,,,4.58,,,-0.1,[Fe/H],
K2-228,K2-228 b,Transit,1,2.69828,129.74,4715,0.71,0.65,914,,1.21,12.2,2018,0.95 m Kepler Telescope,,,,4.66,,,-0.25,[Fe/H],
K2-229,K2-229 b,Transit,2,0.58426,102.85,5315,0.87,0.79,1818,,1.14,3.4,2018,0.95 m Kepler Telescope,,,G9,4.59,,,-0.09,[Fe/H],
K2-229,K2-229 c,Transit,2,8.32727,102.85,5315,0.87,0.79,750,,2.03,24.9,2018,0.95 m Kepler Telescope,,,G9,4.59,,,-0.09,[Fe/H],
K2-230,K2-230 b,Transit,1,2.86041,549.02,5945,1.11,1.39,1529,,1.96,7.3,2018,0.95 m Kepler Telescope,,,,4.2,,,0.1,[Fe/H],
K2-231,K2-231 b,Transit,1,13.841901,324.14,5695,1.01,0.95,,,2.5,27,2018,0.95 m Kepler Telescope,,,,4.48,,,0.14,[Fe/H],3
K2-232,K2-232 b,Transit,1,11.168454,131.21,6154,1.19,1.16,1030,126.49634,11.209,19.25,2018,0.95 m Kepler Telescope,,,,4.38,0.238,,0.1,[Fe/H],1.43
K2-233,K2-233 b,Transit,3,2.46746,67.64,4950,0.8,0.74,1040,,1.398,9.49,2018,0.95 m Kepler Telescope,,,K3,4.71,-0.523,,0.07,[Fe/H],0.36
K2-233,K2-233 c,Transit,3,7.06142,67.64,4950,0.8,0.74,728,,1.335,19.34,2018,0.95 m Kepler Telescope,,,K3,4.71,-0.523,,0.07,[Fe/H],0.36
K2-233,K2-233 d,Transit,3,24.3662,67.64,4950,0.8,0.74,482,,2.64,44.2,2018,0.95 m Kepler Telescope,,,K3,4.71,-0.523,,0.07,[Fe/H],0.36
K2-237,K2-237 b,Transit,1,2.1805577,317.6,6099,1.23,1.38,1838,392.83788,18.405,5.503,2018,20 cm Telescope,,,F9 V,4.27,,0.663,0,[Fe/H],
K2-238,K2-238 b,Transit,1,3.20466,6779.46,5630,1.19,1.59,1587,273.3338,14.572,6.27,2018,20 cm Telescope,,,G2 V,4.11,,0.0775,0.34,[Fe/H],5.63
K2-239,K2-239 b,Transit,3,5.24,31.11,3420,0.4,0.36,502,,1.1,24.6,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248545986_b/,,M3.0 V,4.9,-1.796,,-0.1,[Fe/H],
K2-239,K2-239 c,Transit,3,7.775,31.11,3420,0.4,0.36,427,,1,34,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248545986_c/,,M3.0 V,4.9,-1.796,,-0.1,[Fe/H],
K2-239,K2-239 d,Transit,3,10.115,31.11,3420,0.4,0.36,399,,1.1,38.8,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248545986_d/,,M3.0 V,4.9,-1.796,,-0.1,[Fe/H],
K2-24,K2-24 b,Transit,2,20.88977,171.39,5625,1.07,1.16,,19,5.4,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-24_b/,,G9 V,4.29,,,0.34,[Fe/H],
K2-24,K2-24 c,Transit,2,42.3391,171.39,5625,1.07,1.16,,15.4,7.5,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-24_c/,,G9 V,4.29,,,0.34,[Fe/H],
K2-240,K2-240 b,Transit,2,6.034,73.06,3810,0.58,0.54,586,,2,21.1,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_249801827_b/,,M0.5 V,4.7,-1.276,,-0.1,[Fe/H],
K2-240,K2-240 c,Transit,2,20.523,73.06,3810,0.58,0.54,389,,1.8,48,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_249801827_c/,,M0.5 V,4.7,-1.276,,-0.1,[Fe/H],
K2-241,K2-241 b,Transit,1,26.8199,150.1,5262,0.71,0.75,507,,2.55,43.3,2018,0.95 m Kepler Telescope,,,,4.54,,,-0.44,[Fe/H],
K2-242,K2-242 b,Transit,1,6.51389,109.58,3459,0.38,0.37,416,,2.54,22.1,2018,0.95 m Kepler Telescope,,,,4.89,,,-0.01,[Fe/H],
K2-243,K2-243 b,Transit,2,11.54182,268.88,6570,1.29,1.39,1035,,2.17,21.2,2018,0.95 m Kepler Telescope,,,,4.26,,,-0.03,[Fe/H],
K2-243,K2-243 c,Transit,2,24.94598,268.88,6570,1.29,1.39,801,,2.01,35.6,2018,0.95 m Kepler Telescope,,,,4.26,,,-0.03,[Fe/H],
K2-244,K2-244 b,Transit,1,21.06884,214.18,5677,0.86,0.92,638,,1.75,38.3,2018,0.95 m Kepler Telescope,,,,4.44,,,-0.29,[Fe/H],
K2-245,K2-245 b,Transit,1,11.89307,462.01,5793,0.83,1.25,923,,4.34,17.5,2018,0.95 m Kepler Telescope,,,,4.16,,,-0.45,[Fe/H],
K2-246,K2-246 b,Transit,1,5.76918,717.78,5610,0.87,0.94,977,,3.49,11.1,2018,0.95 m Kepler Telescope,,,,4.43,,,-0.19,[Fe/H],
K2-247,K2-247 b,Transit,2,2.25021,260.04,4667,0.74,0.69,979,,2.12,8.7,2018,0.95 m Kepler Telescope,,,,4.63,,,-0.08,[Fe/H],
K2-247,K2-247 c,Transit,2,6.49424,260.04,4667,0.74,0.69,688,,2.19,18.2,2018,0.95 m Kepler Telescope,,,,4.63,,,-0.08,[Fe/H],
K2-248,K2-248 b,Transit,1,7.17256,411.03,5528,0.88,0.92,886,,2.57,16.2,2018,0.95 m Kepler Telescope,,,,4.45,,,-0.1,[Fe/H],
K2-249,K2-249 b,Transit,1,12.409,529.23,6504,1.32,1.57,1061,,2.79,14.5,2018,0.95 m Kepler Telescope,,,,4.16,,,0.04,[Fe/H],
K2-25,K2-25 b,Transit,1,3.484552,45.01,3180,0.29,0.29,,,3.43,,2015,0.95 m Kepler Telescope,,,M4.5,,-2.076,15.9,0.15,[Fe/H],
K2-250,K2-250 b,Transit,1,4.01457,419.64,5172,0.8,0.81,958,,2.44,12.3,2018,0.95 m Kepler Telescope,,,,4.53,,,-0.09,[Fe/H],
K2-251,K2-251 b,Transit,1,9.30075,147.65,3717,0.52,0.49,437,,2.35,20.6,2018,0.95 m Kepler Telescope,,,,4.76,,,-0.04,[Fe/H],
K2-252,K2-252 b,Transit,1,13.81513,230.34,5152,0.79,0.82,639,,1.74,25.7,2018,0.95 m Kepler Telescope,,,,4.5,,,-0.09,[Fe/H],
K2-253,K2-253 b,Transit,1,4.00167,899.17,6027,1.08,1.1,1238,,12.67,13.9,2018,0.95 m Kepler Telescope,,,,4.39,,,0,[Fe/H],
K2-254,K2-254 b,Transit,2,4.09639,229.28,4629,0.71,0.67,791,,1.63,15.8,2018,0.95 m Kepler Telescope,,,,4.64,,,-0.14,[Fe/H],
K2-254,K2-254 c,Transit,2,12.11839,229.28,4629,0.71,0.67,551,,2.19,31.3,2018,0.95 m Kepler Telescope,,,,4.64,,,-0.14,[Fe/H],
K2-255,K2-255 b,Transit,1,1.96417,192.66,4676,0.71,0.69,1034,,2.9,9.1,2018,0.95 m Kepler Telescope,,,,4.62,,,-0.14,[Fe/H],
K2-256,K2-256 b,Transit,1,5.52011,573.78,5219,0.84,0.78,845,,2.63,7.6,2018,0.95 m Kepler Telescope,,,,4.58,,,-0.1,[Fe/H],
K2-257,K2-257 b,Transit,1,1.60588,64.12,3725,0.52,0.5,789,,0.83,8.2,2018,0.95 m Kepler Telescope,,,,4.76,,,-0.03,[Fe/H],
K2-258,K2-258 b,Transit,1,19.0921,674.71,6351,1.21,1.31,831,,3,21.5,2018,0.95 m Kepler Telescope,,,,4.29,,,0.01,[Fe/H],
K2-259,K2-259 b,Transit,1,15.48043,421.37,6059,1.14,1.13,795,,2.32,29.9,2018,0.95 m Kepler Telescope,,,,4.39,,,0.16,[Fe/H],
K2-26,K2-26 b,Transit,1,14.5665,99.33,3785,0.56,0.52,430,,2.67,20.7,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-26_b/,,M1.0 V,,-1.31,3.92,-0.13,[Fe/H],1
K2-260,K2-260 b,Transit,1,2.6266657,676.32,6367,1.39,1.69,1957,451.3186,17.396,5.291,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-260_b/,,F6 V,4.15,,0.4005,-0.14,[Fe/H],1.9
K2-261,K2-261 b,Transit,1,11.63344,214.58,5537,1.1,1.65,1080,70.87609,9.528,13.3,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-261_b/,,G7 IV/V,4.21,,0.35,0.36,[Fe/H],8.8
K2-263,K2-263 b,Transit,1,50.818947,163.23,5368,0.88,0.85,470,14.8,2.41,64.7,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-263__b/,,G9 V,4.51,-0.26,2.02,-0.08,[m/H],7
K2-264,K2-264 b,Transit,2,5.840002,186.57,3660,0.5,0.47,496,,2.231,22.84,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-264_b/,,M2.5 V,4.78,,6.61,-0.013,[Fe/H],
K2-264,K2-264 c,Transit,2,19.660302,186.57,3660,0.5,0.47,331,,2.668,51.3,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-264_c/,,M2.5 V,4.78,,6.61,-0.013,[Fe/H],
K2-265,K2-265 b,Transit,1,2.369172,139.22,5477,0.92,0.98,,6.54,1.71,,2018,0.95 m Kepler Telescope,,,G8 V,4.42,,0.98,0.078,[Fe/H],9.7
K2-266,K2-266 b,Transit,4,0.658524,77.73,4285,0.69,0.7,1515,,3.3,4,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248435473_b/,,,4.58,-0.823,2.79,-0.12,[Fe/H],
K2-266,K2-266 c,Transit,4,7.814,77.73,4285,0.69,0.7,665,,0.705,20.8,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248435473_c/,,,4.58,-0.823,2.79,-0.12,[Fe/H],
K2-266,K2-266 d,Transit,4,14.697,77.73,4285,0.69,0.7,538,8.9,2.93,31.7,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248435473_d/,,,4.58,-0.823,2.79,-0.12,[Fe/H],
K2-266,K2-266 e,Transit,4,19.482,77.73,4285,0.69,0.7,490,14.3,2.73,38.2,2018,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/epic_248435473_e/,,,4.58,-0.823,2.79,-0.12,[Fe/H],
K2-268,K2-268 b,Transit,2,2.151894,330.89,5068,0.84,0.78,1121,,1.41,7.96,2018,0.95 m Kepler Telescope,,,,4.59,,,0.03,[Fe/H],
K2-268,K2-268 c,Transit,2,9.326841,330.89,5068,0.84,0.78,688,,2.69,23.41,2018,0.95 m Kepler Telescope,,,,4.59,,,0.03,[Fe/H],
K2-269,K2-269 b,Transit,1,4.144965,363.85,6209,1.16,1.45,1429,,1.57,10.07,2018,0.95 m Kepler Telescope,,,,4.18,,1.13,-0.08,[Fe/H],
K2-27,K2-27 b,Transit,1,6.771315,251.43,5248,0.87,0.89,902,30.9,4.48,,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-27_b/,,,4.48,,,0.13,[Fe/H],10.3
K2-270,K2-270 b,Transit,2,1.543069,282.79,4877,0.85,0.77,1203,,1.38,6.04,2018,0.95 m Kepler Telescope,,,,4.59,,,0.26,[Fe/H],
K2-270,K2-270 c,Transit,2,4.400028,282.79,4877,0.85,0.77,848,,2.95,20.94,2018,0.95 m Kepler Telescope,,,,4.59,,,0.26,[Fe/H],
K2-271,K2-271 b,Transit,1,8.562421,573.61,5644,0.83,0.99,893,,7.28,20.69,2018,0.95 m Kepler Telescope,,,,4.37,,2.284,-0.3,[Fe/H],
K2-272,K2-272 b,Transit,1,14.453533,428.26,5419,0.81,0.81,655,,2.91,30.54,2018,0.95 m Kepler Telescope,,,,4.53,,2.577,-0.28,[Fe/H],
K2-273,K2-273 b,Transit,1,11.716332,310.85,5200,0.9,0.84,672,,4.42,6.48,2018,0.95 m Kepler Telescope,,,,4.55,,0.037,0.2,[Fe/H],
K2-274,K2-274 b,Transit,1,14.129714,229.71,5065,0.81,0.74,589,,2.2,31.54,2018,0.95 m Kepler Telescope,,,,4.61,,2.98,-0.13,[Fe/H],
K2-275,K2-275 b,Transit,2,3.280961,123.87,4812,0.79,0.73,905,,2.24,12.28,2018,0.95 m Kepler Telescope,,,,4.61,,,0,[Fe/H],
K2-275,K2-275 c,Transit,2,8.438756,123.87,4812,0.79,0.73,660,,2.34,26.78,2018,0.95 m Kepler Telescope,,,,4.61,,,0,[Fe/H],
K2-276,K2-276 b,Transit,1,18.718269,495.07,5139,0.82,0.85,583,,3.77,21.07,2018,0.95 m Kepler Telescope,,,,4.49,,0.505,0.07,[Fe/H],
K2-277,K2-277 b,Transit,1,6.326763,113.49,5741,1.02,0.97,958,,2.07,24.45,2018,0.95 m Kepler Telescope,,,,4.48,,6.936,0.11,[Fe/H],
K2-278,K2-278 b,Transit,1,3.334966,804.5,6747,1.4,1.61,1711,,2.98,6.24,2018,0.95 m Kepler Telescope,,,,4.17,,0.413,0,[Fe/H],
K2-279,K2-279 b,Transit,1,7.122605,183.94,5558,0.79,0.86,879,,1.21,14.45,2018,0.95 m Kepler Telescope,,,,4.46,,1.13,-0.37,[Fe/H],
K2-28,K2-28 b,Transit,1,2.260455,63.11,3214,0.26,0.29,568,,2.32,17.9,2016,0.95 m Kepler Telescope,http://exoplanet.eu/catalog/k2-28_b/,,M4,4.93,,15.2,0.26,[Fe/H],
K2-280,K2-280 b,Transit,1,19.895202,395.78,5742,1.11,1.28,744,,7.67,17.56,2018,0.95 m Kepler Telescope,,,,4.26,,0.259,0.3,[Fe/H],
K2-281,K2-281 b,Transit,1,8.687721,464.21,4812,0.82,0.76,665,,8.18,25.9,2018,0.95 m Kepler Telescope,,,,4.59,,4.354,0.22,[Fe/H],
K2-282,K2-282 b,Transit,2,4.169836,503.46,,0.94,,1057,,2.82,10.99,2018,0.95 m Kepler Telescope,,,,,,,,,
